'NAME','PRICE','LABEL',
'Fleischwurst','0.88','-36%',
'König Pilsener','9.99','-31%',
'Pringles Chips','1.39','-46%',
'Hohes C Saft','0.99','-44%',
'Kinder Milchschnitte','0.99','-37%',
'Kinder Pingui','0.99','-37%',
'Kinder Maxi King','0.99','-33%',
'Gelb- oder weißfleischige Pfirsiche','1.99','Aktion',
'Jever Pilsener','10.99','-31%',
'Budweiser Premium Czech Lager','13.99','-21%',
'Schweine-Bauchscheiben','3.99','Aktion',
'Fleischspieße','5.55','Aktion',
'Spaten Münchner Hell','13.99','Aktion',
'Hela Gewürzketchup Curry','0.99','-44%',
'Kühne Gewürzgurken','1.29','-35%',
'Jim Beam Premix Longdrinks','1.79','-33%',
'Finsbury London Dry Gin','7.99','-25%',
'Die Thüringer Rostbratwurst','4.59','Aktion',
'Cherry Romatomaten','0.75','Aktion',
'Rhabarber','1.49','Aktion',
'Bio Bananen','1.69','',
'Zucchini','1.29','Aktion',
'Himbeeren','1.11','Aktion',
'Vorgegarter Zuckermais','1.29','Aktion',
'Rucola','0.79','Aktion',
'Ananas Extra Sweet','1.29','Aktion',
'Vorgereifte Bio Mango','1.69','',
'Helle Tafeltrauben','1.59','Aktion',
'Leerdammer Original','0.79','-50%',
'Metten Hähnchen in Aspik','0.99','-41%',
'Fleischwurst','0.88','-36%',
'Frischwurst-Aufschnitt','0.99','-33%',
'Reinert Sommerwurst','1.69','-32%',
'Vegini Burger','2.49','-28%',
'Goldsteig Protinella','0.99','-23%',
'Rote Hexe','2.29','-23%',
'Hähnchenbrustpastete','1.49','-21%',
'Lemonaid Juice','1.99','-20%',
'Houdek Knabber Kabanos','1.99','-20%',
'Steinhaus Zwiebel Bratwurst Bergische Art','4.19','-20%',
'Alpro Soya Cuisine','0.89','-31%',
'Hochland Sandwich Scheiben Gouda','1.49','-25%',
'Fage Total','0.99','-23%',
'Milkana Käse Vielfalt','1.79','-21%',
'Milkana Frischeschale Sahne','1.79','-21%',
'Danone Dany Sahne','0.99','-50%',
'Zott Sahne Joghurt','0.35','-49%',
'Zott Sahne Joghurt','0.35','-49%',
'Dr. Oetker Paula Schoko-Pudding','1.19','-40%',
'Kinder Pingui','0.99','-37%',
'O-Mochi Eis','3.79','-24%',
'Magnum Almond Remix','1.99','-42%',
'Magnum Mini Mix Classic, Almond, White','1.99','-42%',
'Coppenrath & Wiese Cafeteria fein & sahnig Donauwelle','2.79','-37%',
'Original Wagner Steinofen Pizza Diavolo','1.69','-37%',
'Original Wagner Flammkuchen Elsässer Art','1.69','-37%',
'Coppenrath & Wiese Cafeteria fein & sahnig Erdbeer Joghurt','2.79','-37%',
'Frosta Fischstäbchen','2.19','-35%',
'Frosta Schlemmerfilet Bordelaise','2.19','-33%',
'Ben & Jerry’s Cookie Dough Chunks','3.99','-20%',
'Barebells Salty Peanut','3.99','-20%',
'Dallmayr Home Barista','10.49','-30%',
'Lavazza Kaffee','12.99','-27%',
'Breitsamer Honig Frühlingssummen','4.99','-23%',
'REWE Beste Wahl Wurzelbrot','2.19','-21%',
'Leicht & Cross Knusperbrot','0.79','-20%',
'Kölln Hafer-Porridge Feine Basis','1.99','-33%',
'Mestemacher Gourmet Focaccia','1.69','-32%',
'Jacobs Krönung','4.79','-31%',
'Schwartau Samt Fruchtaufstrich','1.79','-28%',
'Schwartau Konfitüre Extra','1.79','-25%',
'ja! Hamburger Brötchen','0.79','Tiefpreis',
'Conti Balsamico','1.49','-40%',
'Bull’s Eye Sauce','1.79','-33%',
'Thomy Delikatess Senf','0.79','-33%',
'P&W Dänische Remoulade oder Burger Dressing','1.29','-31%',
'Hellmann’s Tomato Ketchup','1.39','-30%',
'Hellmann’s Real Mayonnaise','1.39','-30%',
'Hengstenberg Bio Kidney-Bohnen oder Kichererbsen','1.49','-25%',
'Hengstenberg Kräuter oder Pfeffer-Senf Gurken','1.49','-25%',
'Dr. Oetker Gelierzucker','0.99','Aktion',
'Knorr Suppenliebe Buchstabensuppe','0.49','-44%',
'Hela Gewürzketchup Curry','0.99','-44%',
'Knorr Suppenliebe Hühnersuppe','0.49','-44%',
'Huober Schwäbische Knusper-Brezel','0.99','-37%',
'Funny-frisch Kessel Chips','1.39','-36%',
'Funny-frisch Ofen Chips','1.39','-36%',
'Mars Twix','1.49','-21%',
'Nestlé Yes Törtchen','1.59','-20%',
'Pringles Chips','1.39','-46%',
'Lorenz Naturals','1.39','-26%',
'Lorenz Saltletts Pausen Cracker','1.39','-26%',
'Funny-frisch Chipsfrisch','1.49','Aktion',
'DeBeukelaer Prinzen Rolle','1.19','Aktion',
'DeBeukelaer Prinzen Rolle','1.19','Aktion',
'Nestlé Kit Kat mini','1.99','Aktion',
'Afri Cola 25','3.99','-38%',
'Coca-Cola','1.11','-37%',
'Vio Mineralwasser','3.33','-37%',
'Sinalco Limonade','6.99','-30%',
'Dr. Pepper','0.69','-30%',
'Vitamin Well','1.29','-27%',
'Rheinfels Mineralwasser','3.99','-27%',
'Black Forest Mineralwasser','5.49','Aktion',
'Gerolsteiner Erfrischungsgetränk','2.38','Statt 3.57',
'Hohes C Saft','0.99','-44%',
'C4 Frozen Bombsicle oder Twisted Limeade Energy Drink','0.99','-44%',
'Volvic Juicy','0.99','-33%',
'Jever Pilsener','0.59','-33%',
'König Pilsener','9.99','-31%',
'Jever Pilsener','10.99','-31%',
'Veltins Pilsener','10.99','-29%',
'Erdinger Weißbier oder Brauhaus','13.99','-24%',
'Heineken Beer','13.99','-22%',
'Bayreuther Aktien Zwick’l Kellerbier','13.99','-22%',
'Früh Kölsch','12.99','-21%',
'Budweiser Premium Czech Lager','13.99','-21%',
'Salitos Tequila Beer','1.19','-20%',
'Oettinger Pils oder Export','5.99','-20%',
'Astra','3.79','Aktion',
'Shatler's Cocktails','1.99','-33%',
'Bembel with care Apfelwein','0.88','-31%',
'Molinari Sambuca Extra','10.99','-26%',
'Mederaño de Freixenet oder Freixenet Mia Wein','2.99','-25%',
'Zubrowka Biala Vodka','6.99','-22%',
'Killepitsch Kräuterlikör','11.99','-20%',
'Berentzen Minis Partybecher oder Puschkin Party Shooter','9.99','Aktion',
'Baileys Strawberries & Cream','14.99','Aktion',
'Katlenburger Alc. Ice Tea','1.99','Aktion',
'Siegfried Rheinland Dry Gin','24.99','Aktion',
'Jim Beam Premix Longdrinks','1.79','-33%',
'Berentzen Fruchtige Apfelkorn','4.44','-31%',
'Durandel Grillschale3','5.99','-25%',
'Zarelo Kaminofen- und Grillanzünder','3.99','-20%',
'WC Frisch Duftswitch','1.99','-20%',
'WC Frisch Brilliant Gel','1.99','-20%',
'ja! Aluminium-Folie','3.79','Tiefpreis',
'ja! Geschirrtabs All-in-1','3.95','Tiefpreis',
'ja! Spülmittel','1.35','Tiefpreis',
'Kuschelweich Weichspüler','1.11','-30%',
'Men Expert Deospray','1.39','Aktion',
'Men Expert Deo Roll-On','1.39','Aktion',
'Duschdas Duschgel','0.77','-38%',
'Fa Deospray','0.99','-31%',
'Kuschelweich Weichspüler','1.11','-30%',
'Gliss Kur Shampoo','1.59','-20%',
'Wahre Schätze oder Fructis Shampoo','1.89','Aktion',
'Gourmet Perle oder A la Carte Katzennahrung','0.39','-29%',
'Felix Sensations','2.49','Aktion',
'Felix Katzennahrung','3.29','Aktion',
'Nelke1','4.79','Aktion',
'Bartnelken1','2.22','Aktion',
'Lavendel1','6.66','Aktion',
'Scheinmyrthe Trio oder Bornholmer Margerite1','1.79','Aktion',
